usefulCount,coolCount,funnyCount,tipCount,friendCount,reviewCount,avg_posting_rate,postive_ratio,average_content_similarityBM,reviewer_deviattion,membership_length,rev_duration,pn_ratio,capital_diversity,flagged
0,0,0,0.1153,0.0363,0.1272,0.0433,0.67,0.2036,0.1662,0.4831,0.4922,0.0722,0.1838,N
0,0,0,0,0,0.0015,0.0508,0.25,0.0818,0.2465,0.3034,0,0,0.1499,Y
0.0435,0,0,0,0.0048,0.0035,0.0136,0.55,0.3062,0.1214,0.2921,0.1173,0.0206,0.1663,N
0,0,0,0,0,0.0165,0.0471,0.85,0.1525,0.2465,0.4494,0.3161,0.1546,0.0059,Y
0,0,0,0.0085,0.0024,0.0265,0.2161,0.54,0.1688,0.1662,0.0562,0.0501,0.0412,0.1066,N
0,0,0,0,0,0,0,0,0,0.2465,0.4831,0,0.0103,0.1066,Y
0,0,0,0.0381,0.0134,0.2293,0.0339,0.58,0.2436,0.1662,0.5843,0.5923,0.0309,0.1956,N
0,0,0,0,0,0.001,0.0339,0.66,0.2933,0.3287,0.6629,0,0.0103,0.137,Y
0,0,0,0.2667,0.006,0.1227,0.0165,0.86,0.2708,0.1662,0.236,0.2451,0.1031,0.4145,N
0,0,0,0,0,0,0,0,0,0.2465,0.7079,0,0.0103,0.0995,Y
0,0,0,0,0.0028,0.0456,0.0697,0.8,0.1416,0.4538,0.4494,0.4395,0.0619,0.0937,N
0,0,0,0,0,0,0,0,0,0.3287,0.8652,0,0,0.123,Y
0.0435,0.05,0,0,0.0012,0.027,0.0152,0.7,0.133,0.1662,0.236,0.1756,0.0515,0.1148,N
0,0,0,0,0,0.002,0.0254,0.8,0.0825,0.5341,0.3146,0.2197,0.0515,0.1335,Y
0.087,0.05,0.0357,0.0032,0.0126,0.2088,0.042,0.62,0.1952,0.4538,0.191,0.2048,0.1031,0.1159,N
0,0,0,0,0,0.0005,0.0169,0,0.9693,0.3287,0.1236,0,0,0.1218,Y
0.087,0.05,0.0357,0.218,0.1467,0.1597,0.028,0.55,0.245,0.1214,0.6854,0.6943,0.0309,0.1323,N
0,0,0,0,0,0.0035,0.0282,0.37,0.1171,0.3287,0.1236,0.0011,0.0103,0.1288,Y
0.087,0,0,0.0434,0.0006,0.0285,0.0265,0.66,0.1339,0.1214,0.1124,0.0807,0.0412,0.1956,N
0,0,0,0,0,0.003,0.0127,0.85,0.0629,0.5341,0.1348,0.1256,0.0309,0.1218,Y
0.087,0,0,0.0021,0.0004,0.033,0.0254,0.52,0.1124,0.409,0.4045,0.1364,0.0103,0.13,N
0,0,0,0,0,0.03,0.0244,0.5,0.1438,0.3287,0.1798,0.1779,0.0103,0.1007,Y
0.087,0.05,0,0.1016,0.0251,0.0996,0.0129,0.79,0.1883,0.1662,0.5618,0.5777,0.0722,0.1721,N
0,0,0,0,0.0006,0.001,0.0339,0,0.0327,0.0411,0.1236,0,0,0.0726,Y
0,0,0,0.0296,0.008,0.2038,0.0282,0.44,0.2365,0.1214,0.6067,0.6312,0.0309,0.1522,N
0,0,0,0,0.1154,0.004,0.0048,0.66,0.1385,0.3287,0.2809,0.1461,0.0206,0.1815,Y
0,0,0,0,0.0004,0.0396,0.1186,0.8,0.1619,0.1214,0.6629,0.3274,0.1649,0.1206,N
0,0,0,0,0,0,0,0,0,0.2465,0.1573,0,0.0103,0.1429,Y
0.0435,0.1,0.1071,0.0434,0.0933,0.2303,0.0175,0.44,0.1798,0.4538,0.5393,0.5561,0.0103,0.1183,N
0,0,0,0,0,0.0005,0,1,0.0029,0.8217,0.1798,0.0131,0.0309,0.1136,Y
0.087,0.1,0.0357,0.0466,0.0213,0.0926,0.025,0.8,0.1554,0.4538,0.2809,0.284,0.1031,0.1956,N
0,0,0,0,0,0.0025,0.0847,0.33,0.0766,0.2465,0.1573,0,0.0103,0.1511,Y
0.087,0,0,0.0222,0.0068,0.0656,0.0855,0.6,0.2239,0.1662,0.1236,0.1072,0.0309,0.0867,N
0,0,0,0,0,0,0,1,0,0.0736,0.1461,0,0.0206,0.1885,Y
0.087,0,0,0.0021,0,0.0055,0.0237,0.66,0.0885,0.6966,0.0225,0.0123,0.0206,0.1054,N
0,0,0,0,0,0.001,0.0085,0,0.0343,0.7892,0.3483,0.0355,0,0.1405,Y
0.0435,0.05,0.3571,0.0667,0.0165,0.0381,0.0314,0.63,0.1614,0.6966,0.7303,0.7444,0.0309,0.1581,N
0,0,0,0,0,0,0,1,0,0.3612,0.2584,0,0.0206,0.1323,Y
0,0,0,0,0.0002,0.0761,0.0115,0.54,0.2926,0.4538,0.3596,0.3786,0.0206,0.1897,N
0,0,0,0,0.0018,0.0125,0.0231,0.69,0.2415,0.5016,0.382,0.1596,0.0309,0.0105,Y
0,0,0,0,0,0.0115,0.0282,0.7,0.1246,0.1662,0.1348,0.1319,0.0309,0.0867,N
0,0,0,0,0.0022,0.0005,0.0169,1,0.0546,0.0736,0.3258,0,0.0309,0.0679,Y
0.087,0,0,0,0.0054,0.0015,0.0254,0.4,0.3992,0.6966,0.0787,0.0056,0,0.1698,N
0,0,0,0,0,0,0,1,0,0.1918,0.0112,0,0.0206,0.144,Y
0,0,0,0.0667,0.0004,0.024,0.0436,0.46,0.1994,0.1662,0.4831,0.4552,0.0309,0.1183,N
0,0,0,0,0,0.0005,0,0,0.0072,0.671,0.0899,0.0624,0,0.2272,Y
0,0,0,0.0328,0.0002,0.016,0.0189,0.5,0.1614,0.1662,0.0899,0.1024,0.0103,0.1253,N
0,0,0,0,0,0,0,0,0,0.671,0.0337,0,0,0.1241,Y
0.0435,0,0,0.0032,0.0014,0.0886,0.0935,0.83,0.3308,0.1662,0.2584,0.2429,0.4021,0.0972,N
0,0,0,0,0.0036,0.0371,0.1237,0.68,0.4156,0.0958,0.1011,0.0811,0.299,0,Y
0.087,0,0,0,0,0.0085,0.0441,0.66,0.2583,0.4538,0.0674,0.0333,0.0309,0.2073,N
0,0,0,0,0,0.002,0.0678,0.6,0.0532,0.1918,0.0899,0,0.0206,0.1171,Y
0,0,0,0,0.0197,0.0701,0.0091,0.53,0.2068,0.1662,0.573,0.5927,0.0309,0.1674,N
0,0,0,0,0,0.0035,0.1186,1,0.0806,0.4794,0.1124,0,0.0928,0.1557,Y
0.0435,0.05,0,0.2307,0.0171,0.1072,0.028,0.61,0.1932,0.4538,0.4157,0.3681,0.0309,0.082,N
0,0,0,0,0,0.0005,0,0.5,0.0046,0.671,0.4045,0.2425,0.0103,0.356,Y
0.1739,0.05,0.0357,0,0.0004,0.0215,0.0307,0.46,0.0623,0.6966,0.8764,0.8916,0.0103,0.1909,N
0,0,0,0,0,0,0,0,0,0.3834,0.2809,0,0,0.0129,Y
0,0,0,0,0.0014,0.0035,0.0085,0.66,0.0846,0.4538,0.191,0.0777,0.0103,0.1874,N
0,0,0,0.0159,0.0189,0.0346,0.0063,0.62,0.2947,0.4794,0.4607,0.2545,0.0206,0.1674,Y
0.1739,0.1,0.1429,0,0.0703,0.2744,0.0122,0.71,0.2293,0.409,0.573,0.5874,0.0412,0.144,N
0,0,0,0.0381,0,0.0105,0.0245,0.31,0.1598,0.0958,0.3371,0.3427,0,0.1674,Y
0.0435,0,0,0,0,0.0025,0.0085,0.83,0.0509,0.1662,0.1236,0.0893,0.0309,0.1382,N
0,0,0,0,0,0,0,0,0,0.671,0.3596,0,0,0,Y
0.0435,0,0,0.0148,0.0004,0.01,0.0424,0.8,0.0987,0.4538,0.1461,0.117,0.0928,0.1066,N
0,0,0,0,0,0.008,0.0242,0.35,0.1294,0.3834,0.4494,0.3206,0,0.1066,Y
0,0,0,0,0.0004,0.0035,0.0102,0.87,0.2643,0.1662,0.0899,0.0856,0.0412,0.1827,N
0,0,0,0,0.0036,0.0235,0.0138,0.67,0.1342,0.4794,0.382,0.3976,0.0309,0.1042,Y
0,0,0.0357,0,0,0.0165,0.0424,0.45,0.3363,0.6966,0.1461,0.1469,0.0103,0.0656,N
0,0,0,0,0,0,0,1,0,0.1918,0.8652,0,0.0206,0.1124,Y
0.8261,1,0.3571,0.0265,0.9884,0.0756,0.0291,0.82,0.2381,0.1662,0.4045,0.3991,0.0722,0.1557,N
0,0,0,0,0.0002,0.0005,0.0169,1,0.1693,0.2278,0.0337,0,0.0309,0.2927,Y
0,0.05,0,0,0,0.0095,0.0395,0.7,0.2523,0.409,0.1685,0.1655,0.0515,0.1616,N
0,0,0,0,0.0018,0.004,0.0593,1,0.1102,0.5154,0.1124,0.0161,0.1031,0.1019,Y
0,0,0,0.0042,0.0106,0.0691,0.0435,0.56,0.2352,0.1214,0.0449,0.0594,0.0825,0.1639,N
0,0,0,0,0,0,0,1,0,0.5154,0.1573,0,0.0206,0.1698,Y
0,0,0,0,0.0026,0.031,0.0261,0.78,0.2029,0.1662,0.2697,0.2885,0.0722,0.0785,N
0,0,0,0.0593,0.0261,0.1187,0.0215,0.29,0.2367,0.635,0.3596,0.3793,0,0.2002,Y
0.0435,0,0.0714,0.0032,0.0014,0.0035,0.0048,0.44,0.2697,0.6966,0.5393,0.1876,0,0.178,N
0,0,0,0,0,0,0,1,0,0.5154,0.1685,0,0.0206,0.2061,Y
0.0435,0,0,0.2741,0.0486,0.4502,0.0084,0.6,0.2501,0.4538,0.6067,0.6319,0.0412,0.2272,N
0,0,0,0.0021,0.0028,0.0661,0.0777,0.74,0.1911,0.0598,0.2472,0.2537,0.0928,0.1581,Y
0.087,0,0,0.1672,0.0215,0.3105,0.0199,0.54,0.2981,0.1662,0.5955,0.5949,0.0206,0.123,N
0,0,0,0,0,0.0005,0,0.5,0.1075,0.2278,0.3034,0.0348,0.0103,0.137,Y
0.0435,0,0,0,0,0.0135,0.0424,0.82,0.1839,0.4538,0.1348,0.1256,0.0619,0.123,N
0,0,0,0,0.0008,0.0065,0,0.92,0.08,0.2278,0.3034,0.0613,0.0722,0.1124,Y
0.087,0,0,0.0042,0.0042,0.0741,0.0191,0.75,0.2115,0.1214,0.2135,0.1797,0.1237,0.1499,N
0,0,0,0,0,0.0025,0.0847,1,0.0794,0.5154,0.427,0,0.0722,0.192,Y
0.087,0.05,0.1429,0,0.0006,0.0451,0.0068,0.58,0.0956,0.409,0.9663,0.9477,0.0206,0.2553,N
0,0,0,0,0,0,0,1,0,0.5154,0.4382,0,0.0206,0.1616,Y
0.0435,0.1,0,0.0688,0.01,0.0601,0.0245,0.53,0.1724,0.1214,0.3146,0.3356,0.0515,0.1124,N
0,0,0,0,0,0,0,0,0,0.3566,0,0,0.0103,0.1054,Y
0,0,0,0.0243,0.0183,0.0846,0.0201,0.65,0.1484,0.1662,0.382,0.3957,0.0412,0.1487,N
0,0,0,0,0,0.0035,0.1186,1,0.1501,0.069,0.0112,0,0.0928,0.1148,Y
0,0,0,0,0.0012,0.0521,0.0143,0.77,0.2107,0.1662,0.5281,0.5329,0.1649,0.2342,N
0,0,0,0,0,0,0,1,0,0.2186,0.0112,0,0.0206,0.1241,Y
0.087,0.15,0.0714,0.0667,0.0211,0.1157,0.0116,0.68,0.1921,0.1662,0.3596,0.3711,0.0515,0.1311,N
0,0,0,0,0,0,0,1,0,0.069,0.0225,0,0.0206,0.1323,Y
0,0,0.0357,0.0698,0.0124,0.0596,0.0395,0.58,0.1803,0.4538,0.2135,0.2085,0.0309,0.1452,N
0,0,0,0,0,0.011,0.048,0.52,0.231,0.7463,0.3596,0.3587,0.0103,0.1674,Y
0.0435,0,0,0.0011,0.0044,0.0055,0.0339,0.58,0.0643,0.409,0.0449,0.0277,0.0206,0.137,N
0,0,0,0,0,0,0,0,0,0.7463,0.0337,0,0,0.0796,Y
0,0,0,0,0,0,0,0,0,0.6966,0,0,0,0.0995,N
0,0,0,0,0,0.001,0.0085,0.66,0.0665,0.1165,0.0562,0.0015,0.0103,0.2237,Y
0,0,0,0.0677,0.0052,0.0826,0.0539,0.37,0.234,0.1214,0.236,0.2549,0.0103,0.1546,N
0,0,0,0,0,0,0,0,0,0.7463,0.0674,0,0,0.2166,Y
0,0.05,0,0.0021,0.0126,0.1367,0.0118,0.62,0.234,0.4538,0.3596,0.3599,0.0515,0.0867,N
0,0,0,0,0,0,0,1,0,0.1165,0.0899,0,0.0206,0.0785,Y
0,0,0,0,0.0004,0.003,0.0056,0.75,0.3225,0.5372,0.427,0.2463,0.0206,0.0984,N
0,0,0,0,0.0002,0.0015,0.0056,0.5,0.0067,0.4041,0.1685,0.0557,0.0103,0.1417,Y
0,0,0,0,0.0004,0.0055,0.0051,0.69,0.2756,0.038,0.2472,0.2119,0.0309,0.1311,N
0,0,0,0,0,0.001,0.0085,0.33,0.0211,0.4041,0.1124,0.0131,0,0.1042,Y
0,0,0,0,0,0.0055,0.0046,0.42,0.1953,0.5372,0.3258,0.3199,0,0.1674,N
0,0,0,0,0.0006,0.006,0.0198,0.23,0.2524,0.048,0.0674,0.0557,0,0.2927,Y
0,0,0,0,0,0.005,0.0064,0.54,0.1579,0.3256,0.5056,0.4417,0.0103,0.0585,N
0,0,0,0.0138,0.0022,0.0471,0.0386,0.7,0.1663,0.2396,0.2247,0.2309,0.0412,0.1827,Y
0,0,0,0,0.0004,0.0095,0.0207,0.55,0.1536,0.038,0.5618,0.4025,0.0206,0.1499,N
0,0,0,0,0,0,0,1,0,0.5272,0.1348,0,0.0206,0.1241,Y
0,0,0,0,0.005,0.0711,0.0221,0.87,0.2337,0.038,0.6292,0.3318,0.2577,0.1557,N
0,0,0,0,0,0.0015,0.0169,0.5,0.0247,0.6232,0.3034,0.2093,0.0103,0.1171,Y
0.0435,0,0,0,0.0042,0.0451,0.0048,0.75,0.1507,0.3256,0.8202,0.8087,0.0722,0.1089,N
0,0,0,0.0085,0.0002,0.032,0.1667,0.47,0.2933,0.2678,0.1461,0.0064,0.0412,0.1522,Y
0.0435,0,0,0.0116,0.002,0.031,0.0363,0.8,0.1585,0.038,0.2921,0.3004,0.1031,0.2506,N
0,0,0,0,0,0.0025,0.0169,0.66,0.0367,0.0198,0.1011,0.0859,0.0103,0.1405,Y
0.0435,0.05,0,0,0.0361,0.028,0.0132,0.8,0.1011,0.038,0.7753,0.75,0.1134,0.0574,N
0,0,0,0,0.0002,0.0035,0.0508,0.62,0.1586,0.2678,0.0337,0.0007,0.0619,0.0656,Y
0.0435,0.05,0.0357,0.0497,0.0239,0.1462,0.0275,0.6,0.182,0.3256,0.3258,0.3352,0.0309,0.2201,N
0,0,0,0,0,0.004,0.0048,0.88,0.1211,0.2678,0.2247,0.046,0.0928,0.1674,Y
0.0435,0.1,0,0,0.0042,0.0461,0.0054,0.66,0.1917,0.038,0.7753,0.7922,0.0515,0.1991,N
0,0,0,0,0.0016,0.01,0.004,0.47,0.1231,0.2678,0.1573,0.1177,0.0103,0.1956,Y
0.087,0.05,0,0.0011,0.1811,0.5904,0.0532,0.77,0.2392,0.3256,0.9663,0.9794,0.3196,0.1815,N
0,0,0,0,0.0038,0.003,0.0127,1,0.3067,0.2678,0.236,0.0149,0.0825,0.1909,Y
0.1739,0,0.0357,0,0.0138,0.1542,0.0388,0.44,0.2694,0.2496,0.5281,0.1592,0.0206,0.137,N
0,0,0,0,0,0.0005,0.0169,0.5,0.0839,0.2678,0.2697,0,0.0103,0.1768,Y
0.087,0.1,0.0714,0.0011,0.0257,0.2549,0.0406,0.7,0.2019,0.038,0.7978,0.8094,0.0515,0.0867,N
0,0,0,0,0,0.0025,0.0085,0.83,0.129,0.2678,0.3483,0.0852,0.0309,0.1159,Y
0.1304,0.1,0,0,0.0108,0.0666,0.0206,0.86,0.201,0.3256,0.8202,0.1207,0.299,0.1897,N
0,0,0,0,0,0.012,0.0156,0.28,0.1811,0.5951,0.5056,0.3132,0,0.2365,Y
0.0435,0,0,0,0.0054,0.0075,0.0132,0.62,0.112,0.3256,0.236,0.0916,0.0206,0.1674,N
0,0,0,0,0,0.001,0.0085,0,0.17,0.8827,0.6404,0.0045,0,0.137,Y
0,0,0,0,0.004,0.0255,0.0115,0.59,0.0949,0.2496,0.7303,0.6555,0.0206,0.1674,N
0,0,0,0,0,0.0005,0.0169,1,0.0487,0.2678,0.6629,0,0.0309,0.1569,Y
0,0,0,0.0434,0.0028,0.0501,0.0415,0.72,0.1539,0.038,0.5506,0.5493,0.1237,0.1885,N
0,0,0,0,0,0,0,1,0,0.2876,0.0225,0,0.0206,0.0656,Y
0.0435,0,0,0.1302,0.0215,0.0941,0.0046,0.58,0.1494,0.2496,0.5955,0.6114,0.0206,0.0937,N
0,0,0,0,0,0,0,1,0,0.2876,0.0337,0,0.0206,0.1276,Y
0.087,0,0,0,0.0022,0.001,0,0.33,0.0574,0.038,0.2921,0.1689,0,0.1733,N
0,0,0,0,0,0.0005,0,0.5,0,0.5752,0.2022,0.0007,0.0103,0.0726,Y
0.0435,0.1,0,0,0.0064,0.0456,0.0142,0.57,0.1906,0.038,0.4494,0.3647,0.0412,0.1393,N
0,0,0,0,0,0.006,0.0014,0.53,0.1151,0.5752,0.5843,0.4634,0.0103,0.1862,Y
0.1739,0.05,0,0.0011,0.0153,0.1332,0.0125,0.68,0.1729,0.3256,0.5169,0.5374,0.0825,0.0925,N
0,0,0,0,0,0.0005,0.0169,0,0.0321,0.5752,0.573,0,0,0.0597,Y
0.0435,0,0,0,0.001,0.0165,0.0215,0.73,0.1589,0.3256,0.4944,0.3662,0.0309,0.2272,N
0,0,0,0,0,0,0,0,0,0.6477,0.1124,0,0,0.1241,Y
0.1739,0.15,0.1071,0,0.1788,0.5383,0.0142,0.69,0.2219,0.2496,0.8315,0.8345,0.0515,0.1686,N
0,0,0,0,0,0.0025,0.0085,0.33,0.1166,0.6477,0.4607,0.4294,0,0.0667,Y
0.087,0,0.1071,0.0148,0.0367,0.2559,0.0196,0.43,0.2459,0.2496,0.3933,0.3976,0.0206,0.1721,N
0,0,0,0,0.0032,0.0045,0.0019,0.9,0.0567,0.5027,0.2247,0.2134,0.0515,0.2342,Y
0.1739,0.1,0,0.0582,0.0096,0.0661,0.0194,0.46,0.2338,0.038,0.2135,0.2223,0.0206,0.2096,N
0,0,0,0,0,0.0005,0.0169,1,0.0294,0.5027,0.3483,0,0.0309,0.1979,Y
0,0,0,0.0519,0.0383,0.1617,0.0158,0.87,0.1779,0.038,0.382,0.3879,0.5052,0.1112,N
0,0,0,0,0,0,0,0,0,0.6477,0.2472,0,0,0.1581,Y
0,0,0,0,0.0044,0.012,0.0196,0.6,0.1299,0.038,0.5618,0.5546,0.0206,0.1511,N
0,0,0,0,0,0.0005,0,0,0,0.6477,0.3933,0.154,0,0.1124,Y
0,0,0.0357,0.0053,0.0054,0.1262,0.0389,0.71,0.2025,0.038,0.3146,0.3345,0.0825,0.1487,N
0,0,0,0,0.0002,0.1132,0.0337,0.41,0.3892,0.2151,0.6404,0.4163,0.0103,0.0656,Y
0,0,0,0.6444,0.0377,0.4742,0.0185,0.67,0.2195,0.038,0.6404,0.6371,0.0722,0.2213,N
0,0,0,0,0.05,0.0341,0.0096,0.52,0.1394,0.6477,0.618,0.21,0.0206,0.2927,Y
0,0,0,0,0.0006,0.003,0.0226,0.85,0.0664,0.1562,0.3483,0.0127,0.0722,0.3126,N
0,0,0,0,0,0.0005,0.0169,0.5,0.1169,0.484,0.0225,0,0.0103,0.1874,Y
0,0,0,0.0011,0.0008,0.0325,0.003,0.75,0.2205,0.1562,0.6067,0.5676,0.0515,0.1148,N
0,0,0,0,0,0.0005,0.0169,0.5,0.0156,0.3788,0.0449,0,0.0103,0.1569,Y
0,0,0,0,0,0.0501,0.3288,0.53,0.2,0.1562,0.9663,0.9126,0.0206,0.226,N
0,0,0,0,0,0.002,0.0678,0.6,0.0336,0.6664,0.0674,0,0.0103,0.1686,Y
0,0,0,0,0.0428,0.7141,0.0329,0.66,0.2641,0.1562,0.9663,0.9873,0.0825,0.2857,N
0,0,0,0,0,0.0005,0,0.5,0.0017,0.6664,0.2921,0.0037,0.0103,0.1183,Y
0.1739,0.15,0.1071,0,0.0012,0.027,0.0152,0.7,0.133,0.1562,0.236,0.1756,0.0515,0.1874,N
0,0,0,0,0,0,0,0,0,0.6664,0.2584,0,0,0.103,Y
0.0435,0,0,0.0074,0.0046,0.0386,0.0161,0.67,0.1454,0.1562,0.573,0.5788,0.0206,0.1534,N
0,0,0,0,0,0,0,1,0,0.484,0.2921,0,0.0206,0.2108,Y
0,0,0,0,0,0.003,0.0102,0.75,0.3129,0.1562,0.191,0.1342,0.0206,0.1956,N
0,0,0,0,0,0.005,0.0141,0.72,0.0802,0.3788,0.3146,0.0239,0.0206,0.1171,Y
0.087,0.1,0.1786,0,0.0046,0.0426,0.0235,0.74,0.1502,0.1314,0.6292,0.3042,0.0515,0.2307,N
0,0,0,0,0,0.0015,0.0508,1,0.0823,0.1964,0.3596,0,0.0515,0.1335,Y
0,0,0,0.0021,0.0002,0.0185,0.0539,0.52,0.1634,0.1314,0.191,0.2078,0.0309,0.1651,N
0,0,0,0,0,0.0025,0.0847,0.5,0.1865,0.1964,0.4719,0,0.0103,0.0164,Y
0,0,0,0.0032,0.0018,0.0115,0.0102,0.83,0.1467,0.1314,0.3596,0.3572,0.0515,0.1628,N
0,0,0,0,0,0.0025,0.0169,1,0.096,0.1964,0.6404,0.0082,0.0722,0.3712,Y
0,0,0,0,0.0026,0.1132,0.0126,0.67,0.1287,0.4438,0.6966,0.5149,0.0825,0.0843,N
0,0,0,0,0,0,0,1,0,0.1208,0.0112,0,0.0206,0.1956,Y
0,0,0,0.0011,0.0002,0.0195,0.0088,0.7,0.143,0.1562,0.2135,0.2261,0.0412,0.3899,N
0,0,0,0,0,0.0005,0,1,0.0207,0.1208,0.3146,0.0007,0.0309,0.1768,Y
0,0,0,0.0042,0.0002,0.002,0.0169,0.66,0.3886,0.1314,0.1124,0.0318,0.0206,0.1077,N
